,User,ID,DateTime,Device,Retweets,Likes,Text,Is_retweet
32,realDonaldTrump,1335468301028372480,2020-12-06 06:17:09,Twitter for iPhone,9067,0,RT @TeamTrump: President @realDonaldTrump: “If you don’t vote. The socialists and the communists win.” https://t.co/VLhaX0iKKa,True
33,realDonaldTrump,1335468270569349120,2020-12-06 06:17:02,Twitter for iPhone,7080,0,"RT @TeamTrump: President @realDonaldTrump in #Georgia: We have to #HoldTheLine, register to vote before December 7th! https://t.co/usewOJsL…",True
34,realDonaldTrump,1335468173336961024,2020-12-06 06:16:38,Twitter for iPhone,6657,0,"RT @TeamTrump: President @realDonaldTrump: On January 5th, you must defeat Ossoff and Warnock and send @PerdueSenate and @KLoeffler back to…",True
35,realDonaldTrump,1335468139484733440,2020-12-06 06:16:30,Twitter for iPhone,6501,0,RT @TeamTrump: President @realDonaldTrump: Raphael Warnock is a dangerous extremist who is radically opposed to Georgia values https://t.co…,True
36,realDonaldTrump,1335468101564063744,2020-12-06 06:16:21,Twitter for iPhone,6234,0,RT @TeamTrump: President @realDonaldTrump: Jon Ossoff is a radical left wing zealot https://t.co/YonLCLQNq4,True
37,realDonaldTrump,1335468046446686209,2020-12-06 06:16:08,Twitter for iPhone,5833,0,RT @TeamTrump: President @realDonaldTrump: Senator @KLoeffler “has been an exceptional champion for Georgia workers and families” https://t…,True
38,realDonaldTrump,1335467992419889153,2020-12-06 06:15:55,Twitter for iPhone,19934,97760,And getting a total pass from the media! https://t.co/LyQBuhJq46,False
39,realDonaldTrump,1335467150069407744,2020-12-06 06:12:35,Twitter for iPhone,7781,0,"RT @TeamTrump: President @realDonaldTrump: Radical Democrats will destroy America forever by abolishing filibuster, opening borders, confis…",True
40,realDonaldTrump,1335467089830825984,2020-12-06 06:12:20,Twitter for iPhone,12490,0,RT @mikehahn_: This is a movement.   It's not going anywhere. https://t.co/pqIgz1S5KS,True
41,realDonaldTrump,1335467006750056451,2020-12-06 06:12:00,Twitter for iPhone,24966,0,RT @TeamTrump: We will not bend.   We will not break.   We will not yield.   We will never give in.  We will never give up.  We will never…,True
42,realDonaldTrump,1335466908192268293,2020-12-06 06:11:37,Twitter for iPhone,13123,106860,Thank you Matt! https://t.co/yPqsdzytu4,False
43,realDonaldTrump,1335466751757340672,2020-12-06 06:11:00,Twitter for iPhone,17524,0,"RT @kayleighmcenany: President @realDonaldTrump &amp; First Lady @MELANIATRUMP take the stage in Valdosta, Georgia‼️ https://t.co/6Laq5cPvQ1",True
44,realDonaldTrump,1335466401893670912,2020-12-06 06:09:36,Twitter for iPhone,7407,0,RT @BuckForColorado: Thank you @RealDonaldTrump for making the case in Georgia! Keeping the 2 Senate seats in #GOP control means we can sto…,True
45,realDonaldTrump,1335466110037217280,2020-12-06 06:08:27,Twitter for iPhone,10493,0,"RT @TeamTrump: LIVE: President Trump in Valdosta, GA #Valdosta #Georgia https://t.co/P1OyvbQeUg",True
46,realDonaldTrump,1335465325069017088,2020-12-06 06:05:19,Twitter for iPhone,8049,0,"RT @OANN: How compromised was the 2020 election? Dominion Voting Systems has had a history of problems. Stolen laptops, “switched” votes, C…",True
47,realDonaldTrump,1335465256798330880,2020-12-06 06:05:03,Twitter for iPhone,11991,0,RT @gatewaypundit: BOOM: President Trump Is On Target In Wisconsin - Ballots Identified in Pristine Condition Similar to Fraudulent Ballots…,True
48,realDonaldTrump,1335465149147308033,2020-12-06 06:04:37,Twitter for iPhone,7203,0,RT @VicToensing: See Prof. John Eastman 12/3/20 testimony b/4 Georgia legislature re  US Constitutional authority of STATE legislatures to…,True
49,realDonaldTrump,1335464641301008384,2020-12-06 06:02:36,Twitter for iPhone,26499,120340,Melissa is great! https://t.co/45q70Ps7oK,False
50,realDonaldTrump,1335464302766149632,2020-12-06 06:01:16,Twitter for iPhone,10589,64532,Great job Dan. People are watching! https://t.co/5SiKOq3HoQ,False
51,realDonaldTrump,1335463604594806791,2020-12-06 05:58:29,Twitter for iPhone,10132,0,RT @christina_bobb: Biden cheated,True
52,realDonaldTrump,1335463480435109888,2020-12-06 05:58:00,Twitter for iPhone,23164,0,RT @MarkFinchem: I believe that @dougducey signed a fraudulent document. And he knew it! I’m requesting we recall Arizona’s certification.…,True
53,realDonaldTrump,1335463348893339648,2020-12-06 05:57:28,Twitter for iPhone,29749,0,RT @RudyGiuliani: The “Bank Heist” tape changes the result in Georgia.   The State Legislature has no choice but to assume its powers under…,True
54,realDonaldTrump,1335463244266409985,2020-12-06 05:57:03,Twitter for iPhone,16986,0,"RT @BernardKerik: Democratic Party and @JoeBiden engaged in criminal conduct to steal the election, but should @realDonaldTrump lose, it wi…",True
55,realDonaldTrump,1335463148137164802,2020-12-06 05:56:40,Twitter for iPhone,10333,0,RT @BernardKerik: These are the four cowardice Pennsylvania legislators that intend to allow the Democrat machine to #StealtheVote! #Coward…,True
56,realDonaldTrump,1335462968084090880,2020-12-06 05:55:57,Twitter for iPhone,10081,63955,Thank you! https://t.co/X7gFdH8fqW,False
57,realDonaldTrump,1335462704006492160,2020-12-06 05:54:54,Twitter for iPhone,11442,61823,Fraudulent result! https://t.co/vrp8SidOc8,False
58,realDonaldTrump,1335462365370994689,2020-12-06 05:53:34,Twitter for iPhone,6169,0,RT @christina_bobb: Rusty Bowers is intentionally misleading the people of Arizona to avoid the inevitable.  @realDonaldTrump won his state…,True
59,realDonaldTrump,1335461730546307075,2020-12-06 05:51:02,Twitter for iPhone,5492,0,RT @christina_bobb: #truth,True
60,realDonaldTrump,1335461462312148995,2020-12-06 05:49:58,Twitter for iPhone,11667,91646,Thank you Christina! https://t.co/0ADausqhat,False
61,realDonaldTrump,1335461221911425026,2020-12-06 05:49:01,Twitter for iPhone,8121,0,"RT @christina_bobb: This election struggle is because of leaders, elected by We the People, who have now rigged elections to rob Americans…",True
62,realDonaldTrump,1335460410267488261,2020-12-06 05:45:48,Twitter for iPhone,9978,53997,"***Live Updates*** Trump Holds Georgia Rally for Sens. Loeffler, Perdue https://t.co/Z6XZYeCO16 via @BreitbartNews. A great evening in beautiful Georgia!",False
63,realDonaldTrump,1335414297891983360,2020-12-06 02:42:34,Twitter for iPhone,19532,96185,https://t.co/t1nwOScuF6,False
64,realDonaldTrump,1335413770139549697,2020-12-06 02:40:28,Twitter for iPhone,41553,167208,"The answer to the Democrat voter fraud is not to stay at home - that’s what Pelosi and Schumer want you to do. If you want revenge on the Democrats for their efforts to steal the Presidential election, where we are fighting hard, you have to show up and vote in RECORD numbers! https://t.co/XAJ0F2JmeL",False
65,realDonaldTrump,1335413152146550788,2020-12-06 02:38:00,Twitter for iPhone,20943,97816,"Register to vote before Monday 12/7. Register now on https://t.co/bFJXEeKHLV, then request your absentee ballot before 12/31 - do it TODAY, and return your ballot the same day you get it. If you aren’t planning to vote by mail, vote early in person, or vote on Election Day! https://t.co/mGnORcriXw",False
66,realDonaldTrump,1335409849392218114,2020-12-06 02:24:53,Twitter for iPhone,14274,73850,https://t.co/VtlO88czRa,False
67,realDonaldTrump,1335409723080765440,2020-12-06 02:24:23,Twitter for iPhone,23743,78916,https://t.co/7NhZCVBncg,False
68,realDonaldTrump,1335409691636105219,2020-12-06 02:24:15,Twitter for iPhone,11790,67454,https://t.co/VWWlkmzjiL,False
69,realDonaldTrump,1335409639865765888,2020-12-06 02:24:03,Twitter for iPhone,11470,62308,https://t.co/DJSZ8ebxub,False
70,realDonaldTrump,1335409573830696961,2020-12-06 02:23:47,Twitter for iPhone,11426,61786,https://t.co/PSHXaWnrox,False
71,realDonaldTrump,1335409353042481154,2020-12-06 02:22:55,Twitter for iPhone,21382,123346,https://t.co/pg1ClbTDhv,False
72,realDonaldTrump,1335406436247998464,2020-12-06 02:11:19,Twitter for iPhone,27268,125866,https://t.co/tKi5SS3RI9,False
73,realDonaldTrump,1335351633459310593,2020-12-05 22:33:33,Twitter for iPhone,23190,124890,"...We received more LEGAL votes by far. All I can do is run, campaign, and be a good (great!) President – it is 100% up to the states to manage the election. Republicans will NEVER forget this.",False
74,realDonaldTrump,1335351629810286592,2020-12-05 22:33:32,Twitter for iPhone,35935,164252,"Between Governor @DougDucey of Arizona and Governor @BrianKempGA of Georgia, the Democrat Party could not be happier. They fight harder against us than do the Radical Left Dems. If they were with us, we would have already won both Arizona and Georgia...",False
75,realDonaldTrump,1335344435048054785,2020-12-05 22:04:57,Twitter for iPhone,28258,283321,Leaving for Georgia now.  See you soon!,False
76,realDonaldTrump,1335336916582084614,2020-12-05 21:35:04,Twitter for iPhone,37067,135963,"But you never got the signature verification! Your people are refusing to do what you ask. What are they hiding? At least immediately ask for a Special Session of the Legislature. That you can easily, and immediately, do. #Transparency https://t.co/h73ZfjrDt3",False
77,realDonaldTrump,1335281344302104577,2020-12-05 17:54:15,Twitter for iPhone,35733,145554,"25, wow! I am surprised there are so many. We have just begun to fight. Please send me a list of the 25 RINOS. I read the Fake News Washington Post as little as possible! https://t.co/cEBM0bYuQ9",False
