,ID,Retweets,Replies,Likes,Quotes,Text
0,1336403005785174016,0,0,0,0,@realDonaldTrump You’re the President.  Why don’t you just declare Martial Law and force another election on the American people?
1,1336402176491581440,0,0,0,0,@realDonaldTrump #TrumpIsACompleteFailure
2,1336401113365536770,0,0,0,0,@bIueedreams @longie425 @realDonaldTrump https://t.co/6yfphmXRjx
3,1336400715397345280,0,0,1,0,@jhawkcat @CarolynRyanTV @BrandonBeckham_ @TheRISEofROD @realDonaldTrump @TeamTrump @FBI Meaning she was unable to verify it
4,1336399937702043648,0,1,0,0,@longie425 @TOBYTEK @realDonaldTrump Without dictator Don? *passed up on the biggest power grab in history in regards to covid handling* —— but nope...when he chooses not to be dictator Don he’s “useless”. You people really aren’t very smart
5,1336399480703348736,0,0,0,0,"@realDonaldTrump Trump doesn't give a 💩about the @GOP, the constitution, or America. He didn't win the popular vote in 2016, even with Russia's help, so is he #Illegimate  #StopTheSteaI2020 #DerangedDonald #DesperateDonnie https://t.co/xcJxA1oa7L"
6,1336399367369011209,0,1,0,0,@CarolynRyanTV @LibertyBitcoin @BrandonBeckham_ @TheRISEofROD @realDonaldTrump @TeamTrump @FBI Aren't you a reporter? It's not about what you believe Do your homework You know she hired a lawyer Wonder why?
7,1336398063351574528,0,0,0,0,@realDonaldTrump #TrumpIsALoser
8,1336397659712569345,0,0,0,0,"@realDonaldTrump (2)... or, in ANY WAY, compromised"". NO change w firings! U this STUPID OR part of PUTIN-POTUS DISINFO CRAP Prog? STOP SUPPORTING #TraitorTrump #TAKINGAmericaDOWN -attacking our own people/institutions/values/democracy (esp. election sys) Only makes a FOOL (or WORSE) of YOURSELF!"
9,1336397620038668288,0,0,0,0,"@realDonaldTrump BEATING DEAD HORSES! Electoral=306-232 w NO FRAUD says election officials on BOTH sides! @GOP attack on Dominion &amp; other sys=PROVEN CRAP, debunked by officials! CISA (Cyber &amp; Infrastructure Security Agency) says ""NO evidence ANY voting systems deleted/lost votes, changed votes,…"
10,1336395596266139648,0,0,0,0,@realDonaldTrump uh oh! who's a stinky poopoo peepee baby? you are!
11,1336393640684433412,0,0,0,0,@longie425 @bIueedreams @realDonaldTrump I knew what you meant 😄
