,ID,Retweets,Replies,Likes,Quotes,Text
0,1336351024186073089,0,0,0,0,@realDonaldTrump And you are an expert on losing elections. No one knows more about losing an election than you.
1,1336351012282568719,0,0,0,0,@pinevalleydr @realTreySibley @greenhousenyt @realDonaldTrump And not do signature matches?
2,1336351005722591232,0,0,0,0,@realDonaldTrump Speaking of zero chance of winning the general election...
3,1336351003264708610,0,0,0,0,@realDonaldTrump AZ does not claim @JeffFlake he and the McCains @cindymccain  are an embarrassment to the state!
4,1336350989570482178,0,0,0,0,"@realDonaldTrump Technically, you were just forced to retire as well clown."
5,1336350984235347972,0,0,0,0,@realDonaldTrump @JeffFlake  Rinos are all being shown by themselves.  Easier &amp; easier to see Rinos because of the rabid attacks against we the people.  You were one of the front &amp; center Rinos
6,1336350979692773377,0,0,0,0,@realDonaldTrump 1-20-2021.  Deal with it!
7,1336350977209806851,0,0,0,0,"@realDonaldTrump ""It's not normal"".  Nothing is normal since you took office, you moron.  The World is tired, disgusted and sick of this bad spectacle that is your "" presidency"".  I really hope they have to physically remove you from the WH. You deserve the humiliation. We deserve to see it.  🇨🇦 https://t.co/Ko3RhZPuq2"
8,1336350967290163200,0,0,0,0,@pittman_george @realDonaldTrump https://t.co/00tmAQAxLT
9,1336350965843288070,0,1,0,0,@pinevalleydr @realTreySibley @greenhousenyt @realDonaldTrump You’ve seen them not audit machines or have no observers?
10,1336350948428537860,0,0,0,0,@realDonaldTrump https://t.co/1yEOEy0jRD Not as great as the con you are pulling on the American people #WeirdoTrump.  Your remark says it all.  4 yrs as POTUS and this is the hardest you've worked?! Are you even hearing what you are saying? LOSER!
11,1336350935723831299,0,0,0,0,@realDonaldTrump We’ve all been here before..2016... when you came up with the same crap but suddenly it all went away when you realized you’d WON!  Sore loser willing to destroy the country just to protect your own ego! You’re a disgrace! #StoptheTrumpSteal  https://t.co/78ZH8hR6MD
12,1336350915054477322,0,0,0,0,@realDonaldTrump Somebody's panties got into a bunch with Jeff's comments😂😂😂
13,1336350905726201857,0,0,0,0,@realTreySibley @greenhousenyt @realDonaldTrump #poorbaby #cryinmypocket #byedon
14,1336350897597599745,0,0,0,0,"@Azleatherneck @USAPhysique @Robjnh @realDonaldTrump The truth is he didn’t win. I only care because I believe to move forward we need to listen to each other. Your side’s leaders (Barr, Rudy) said there wasn’t cheating that was found. I haven’t called you a name. I hope you know it’s ok to change a belief. Be well."
15,1336350888743604226,0,0,0,0,"@realDonaldTrump There is long-term damage when members of Congress like you used to be, refuse to protect election integrity and address voter fraud and illegal rulings by state executive branches to arbitrarily change election procedures months before an election.   https://t.co/ULRUIyBTvy"
16,1336350888500203520,0,0,0,0,"@realDonaldTrump What Is The Electoral College Safe Harbor Deadline?  - It means THE DOTARD can’t UNDERMINE Democracy! Awe, #Sad!https://t.co/xD3mQL4aNv"
17,1336350882477301761,0,0,0,0,"@LoneStarMama4 @realDonaldTrump This fascinates me.  On the daily, tRump complains and cries and shows nothing but a weak person.  Who in their right mind would have any positive feelings about such a worthless person?"
18,1336350871991451649,0,0,0,0,"@realDonaldTrump Um Donald, in case you missed the irony, you came in last in Arizona just recently."
19,1336350854022979584,0,0,0,0,"@realDonaldTrump Donnie, you lost by many millions! America voted &amp; it pissed you off.  Worst crybaby in history &amp; BIGGEST LOSER EVER! Seeking validation at expense of other's is all you got left in your empty bag of cons &amp; criminal behavior.  We just don't like you. We don't care where you go!"
20,1336350843994394624,0,0,0,0,@realDonaldTrump President Trump Loves Liberal Democracy Pray to God and prepare for America. South Koreans are praying for Trump and the United States.
21,1336350837065592832,0,0,0,0,@realDonaldTrump And he’s still whining. What a tw@twaffle.
22,1336350829381627907,0,0,0,0,@realDonaldTrump You're a child
23,1336350824650452992,0,0,0,0,@realDonaldTrump YOU LOST!!! 🍼🍼
24,1336350821634592769,0,0,0,0,@tweetwelovetryp @pittman_george @realDonaldTrump https://t.co/kjVX7gxdQ8
25,1336350821055868930,0,0,0,0,@realDonaldTrump @KilllerBee777 Never would’ve imagined so many people would call transparency a problem
26,1336350818606452740,0,0,0,0,@realDonaldTrump Is it normal when a Supreme Court Justice is forced to retire so you can stack the court with younger federalists?
27,1336350789506224128,0,0,0,0,@realDonaldTrump another day of trump trying to over throw the will of the people.. scum bag
28,1336350780513775621,0,0,0,0,@realDonaldTrump Trump believes his entitlement is greater than the will of the American people.
29,1336350761198948354,0,0,0,0,"@realDonaldTrump ...and you lost the GE by over 7 MILLION votes!  A landslide, massacre Bro.  SDASTFU"
30,1336350719654330369,0,0,0,0,@realDonaldTrump Jeff Flake is irrelevant
31,1336350711681077250,0,0,1,0,@realDonaldTrump You’re talking about normal? 😂😂😂😂😂😂😂😂😂😂😂😂 https://t.co/NagoY6m9kC
32,1336350709185449985,0,0,0,0,@realDonaldTrump Jeff is right; he has proved it with your tweet. So easy to get your ego. 😂
33,1336350707557883904,0,0,0,0,@realDonaldTrump Who cares🤷🏻‍♂️ Arizona is a blue state now thanks you bashing McCain 😂
34,1336350701476225025,0,0,0,0,@realDonaldTrump You lost.
35,1336350690701139968,0,0,0,0,@rAAAbbiTT @BarbenCrotts @MatthewJshow @realDonaldTrump I’m talking about humans. Him being president or you Canadian.. have literally nothing to do with this.  But you’ll just keep arguing till I block you. That’s okay.  Glad to be me.
36,1336350686418591745,0,0,0,0,@realDonaldTrump Oh Lord l can’t wait until Trump is gone. He is human garbage. Straight up... Fuck Trump!
37,1336350671201767425,0,0,0,0,@realDonaldTrump But I thought the polls were fake?
38,1336350670727696387,0,0,0,0,@realDonaldTrump Loser say what? https://t.co/BEFwYCB0oK
39,1336350665979916294,0,0,0,0,@realDonaldTrump ✴️*✴️*✴️*✴️*✴️*✴️*✴️*✴️*✴️*✴️*✴️*✴️*✴️ _____________________________________________________                      POTU5-45 and COVID-19   ______________________________________________________                   The Truth about the Corona Virus and the USA https://t.co/HqOI4b8QR8
40,1336350644089720834,0,0,0,0,@cjtruth @realDonaldTrump https://t.co/yBpVGZwhDY
41,1336350642357604358,0,0,0,0,@keepemhonest2 @realDonaldTrump December 14. just saying
42,1336350628780642306,0,0,0,0,@realDonaldTrump You’re a dick
43,1336350618533818368,0,0,0,0,@realDonaldTrump A Flake is a Flake is a Flake.........
44,1336350616478683138,0,0,0,0,@Athletics89 @realDonaldTrump Yes. It is clear you and fatso want nothing to do with truth or the constitution and rule of law. How dare any republican speak truth to the orange moron. Who LOST. Multiple times now.
45,1336350611663708161,0,0,0,0,@realDonaldTrump Hhhmm...perhaps someone who lost by 8 million votes shouldn’t throw stones?
46,1336350585965056001,0,0,0,0,@realDonaldTrump Didn’t you lose Arizona? Didn’t the Republican nominee for Jeff’s seat lose too?
47,1336350570576302082,0,0,0,0,@gapatriot3 @doqholliday @realDonaldTrump 2 knocks waiting on the 3rd https://t.co/e7iobpdUa1
48,1336350568667697155,0,0,0,0,@realDonaldTrump https://t.co/peW3GmmZ93
49,1336350540339539971,0,0,0,0,@realDonaldTrump Never except a lie .For you won.Never concede!
50,1336350514150248449,0,0,0,0,@realDonaldTrump It’ll never happen (POTUS PLEASE TAKE A CIVICS COURSE) However....If there were a “re-vote” let’s go all the way back to primaries (used same voting systems) there’s no f’ing way DJT survives primary now the world knows what an A$$CLOWN he’s become.
51,1336350511478566913,0,0,0,0,"@realDonaldTrump @AZGOP The Grand Old Party of Republicans   Sad party of Lincoln To Trump now all kneel,  Too cowardly to resist His vulgar appeal. While they grovel and lie Spewing absurdity not reason, This Party of Cowards Are party to treason.   #GOP  #MAGA  #McConnell"
52,1336350495020118017,0,0,0,0,@realDonaldTrump @AZGOP Please shut him down after safe harbor day @Twitter @jack @TwitterSupport  Preventing insurrection is worth the flak You have an obligation to the good people in this country to act
53,1336350485637332993,0,0,0,0,@realDonaldTrump Big words from a guy who lost the popular vote by millions both times
54,1336350473532579840,0,0,0,0,"@realDonaldTrump Why do Christians support trump?  He is antithetical to their religion?  And when they say god can work through faulty men, why was god not working through Obama? Wasn’t that part of gods plan?  Didn’t god want trump to lose the election?"
55,1336350472525946880,0,0,0,0,@Kenny_Sowellfan @realDonaldTrump #ubstoop
56,1336350470978203648,0,0,0,0,@realDonaldTrump https://t.co/4bv8ju5TC6
57,1336350469099237378,0,0,0,0,@gapatriot3 @doqholliday @realDonaldTrump It’s time. https://t.co/W55hAmjX7A
58,1336350420231319555,0,0,0,0,"@realDonaldTrump Looks like you should have done likewise, dude who just got destroyed. https://t.co/1rGRvjPcaI"
59,1336350409959624705,0,0,0,0,@realDonaldTrump You are not normal
60,1336350409812832259,0,0,0,0,"@BrandonBeckham_ @realDonaldTrump @JeffFlake Exactly! Requesting more in depth looks at corruption should BE the norm, not something to fight against (unless you have something to hide) #StandWithTrump"
61,1336350409007509507,0,0,0,0,@realDonaldTrump Unpopular vs. treason  I’d prefer unpopular
62,1336350404221792258,0,0,0,0,@newsjunkie523 @realDonaldTrump that's what i like
63,1336350402770391044,0,0,0,0,@sdjodan @MatthewJshow @realDonaldTrump Hahhaa
64,1336350392595177476,0,0,0,0,@realDonaldTrump Oh how I love our trolling POTUS!!!
65,1336350379605282821,0,0,0,0,@realDonaldTrump You’re on crack
66,1336350370298122240,0,0,0,0,"@lotusgirl59 @the_resistor @realDonaldTrump Biden is puppet under mafia group, to control US. If Biden win, USA become China second .Us election like shit's"
67,1336350350131990529,0,0,0,0,@realDonaldTrump Remember when you lost the election! We did !!! #OneTermLoser #OneTermTrump
68,1336350346847920134,0,0,0,0,"@realDonaldTrump No person will ever be more petty or smaller than tRump.  tRump will go down in history as the softest, weakest and biggest complainer of all time...quite a record."
69,1336350339755335687,0,0,0,0,@realDonaldTrump #YOUREFIRED
70,1336350338467639306,0,0,0,0,"@realDonaldTrump Follow that example and retire since you lost by MILLIONS, Donnie..."
71,1336350336903245830,0,0,0,0,@realDonaldTrump That guy really is such a loser
72,1336350331995885570,2,2,11,0,@doqholliday @realDonaldTrump 11:21 &gt; 2:3 &gt; 23 https://t.co/jzEn8mxobm
73,1336350330229989376,0,0,0,0,"@realDonaldTrump Sir, while I may disagree with @JeffFlake on many policy points, there is no disputing that he is an honorable man who represented AZ well in the Senate. You, on the other hand, are a loser who is trying to wreck democracy on your way out. Sad! #TrumpIsPathetic"
74,1336350316858630144,0,0,0,0,@realDonaldTrump Only 43 more days of this infantile bullshit. Can’t wait for you to leave. Fn Loser!
75,1336350312450416642,0,0,0,0,@realDonaldTrump https://t.co/lioKFXzPXe
76,1336350311682859010,0,0,0,0,@realDonaldTrump I notice you don’t say these kind of things well standing right in front of them. Kinda cowardly don’t you think?
77,1336350309543636994,0,0,0,0,@scientificrealm @realDonaldTrump #twittiot
78,1336350307454918657,0,0,0,0,@realDonaldTrump get shit on you fucking communist scumbag @JeffFlake.  why don’t you and your son go torture more dogs??
79,1336350287871799303,0,0,0,0,@JoeK3Fan @leggy801 @bolin_zbolin @fiinbob @realDonaldTrump Lmfao you clown   This president and his entire base has said for months. Count every legal vote (hopefully this is you) and throw out every illegal vote. I’m sorry that when this happens your Chinese cuck biden loses in a landslide but that’s because some@of us still have brains
80,1336350287297212416,0,0,1,0,@realDonaldTrump KEEP FIGHTING SIR !
81,1336350257832050690,0,0,0,0,@lightheartanon @doqholliday @realDonaldTrump https://t.co/klsscWhz3U
82,1336350256380960768,0,0,0,0,@realDonaldTrump https://t.co/w1enIoQLqb
83,1336350244041318404,0,0,0,0,"@realDonaldTrump So it’s better to run (and lose) like you did than retire early like Sen Flake did? Flake didn’t have to take a huge, embarrassing loss like you did.   Just sayin."
84,1336350240853602304,0,0,0,0,@DPWIMM @realDonaldTrump https://t.co/2NZEQySpFE
85,1336350238228049924,0,0,0,0,@BarnettforAZ @realDonaldTrump 😂😂😂😂  MAGA!!
86,1336350219181518849,0,0,0,0,@realDonaldTrump YOURE THE BIGGEST LOSER!!!!! LOSER LOSER LOSERRRR!!!!! YOU GOT BLOWN OUT BY 8million+ people ! We hate you Donny !
87,1336350210482708480,0,0,2,0,@realDonaldTrump TROLL LEVEL:  EXPERT!!!!  President Trump for the win!!!! 😂😂😂🏆🏆🏆🏆🏆 https://t.co/sc9yK4xjiq
88,1336350201381056513,0,0,0,0,"@realDonaldTrump Donnie Boy u just lost ""BIGLY"" &amp; ""got beat like a drum"", just like Biden said he would do..You can't talk about anyone. you have no class &amp; can't leave gracefully ur trying to lie-cheat-threaten to stay &amp; it isn't going to work-MAJORITY, 82 million people, voted against you."
89,1336350200655347712,0,0,0,0,@realDonaldTrump @GOP You also LOST Arizona on the next go around. Nice going!
90,1336350194313670657,0,0,0,0,@realDonaldTrump Trump classless. I am sure if he was not born into money he would have been arrested for soliciting prostitution.
91,1336350176907243521,0,0,0,0,@realDonaldTrump https://t.co/fxvAZ2ZCZo
92,1336350156053041152,0,0,0,0,@realDonaldTrump Just another classless attack by POTUS on a citizen of the United States who has exercised his First Amendment rights. It’s one of many reasons he was just defeated in the presidential election. #thinskinned
93,1336350101082697731,0,0,0,0,@realDonaldTrump Because he supported Trump!
94,1336350084024455169,0,0,0,0,@realDonaldTrump Republican Party should be renamed Spineless Party!💔
95,1336350079389736960,0,0,0,0,@realDonaldTrump YOU ARE A LOSER!
96,1336350077380669442,0,0,1,0,@realDonaldTrump 🚨🚨BREAKING: Right-wing plaintiffs in Arizona election contest DISMISS their lawsuit.  Trump and his allies are 1-49 in post-election lawsuits. It is almost certain they will hit 50 lossas soon. https://t.co/dbVEsIoi4h
97,1336350072615780352,0,0,0,0,@realDonaldTrump LOSER!!!!!!!!!!!!!!!!!! More than half the country hates you!!! You are a national DISGRACE
98,1336350052990631936,0,0,0,0,@ConservBlue2020 @realDonaldTrump Seems he underestimated the majority of Americans. They came out in huge numbers not being dissuaded by all the road blocks put in place by the GOP to keep them from voting him out. By the way heard something about New York wanting to talk with him in late January. 😁
99,1336350051606650881,0,0,0,0,"@YepaTrumper @Maria_Lil_Maria @BASEDZOOMERR @KrittyB419 @realDonaldTrump Manufacturing hardly changed. In fact, manufacturing was in a recession before Covid. 401ks grew at a higher rate under Obama.   All factual."
100,1336350019859996673,0,0,0,0,"@realDonaldTrump Woe to those who call evil good, good evil, who turn darkness to light, light to darkness, who replace bitter with sweet, sweet with bitter. Woe to those who are wise in their own eyes, clever in their own sight. who acquit the guilty for a bribe, deprive the innocent of justice."
101,1336350011194413061,0,0,0,0,@realDonaldTrump 🤣🤣🤣 https://t.co/UWxjcsNDue
102,1336350004135550976,0,0,0,0,@xoxoPatrioticRN @realDonaldTrump What you fighting insanity? Cult immersion? General stupidity? All of the above.
103,1336350003476852736,0,0,0,0,@realDonaldTrump https://t.co/nNlgrR8WIB
104,1336349998942998529,0,0,0,0,"@realDonaldTrump And it’s not fair to the American people that you insist you won the election.. You lost in a landslide, both popular vote and electoral college. https://t.co/l3JopDVnVu"
